age,job,marital,education,housing,loan,duration,campaign,pdays,previous,emp.var.rate,nr.employed,subscribe
49,housemaid,1,3,0,0,152,1,999,0,1.1,5191,0
32,admin.,0,4,0,0,611,2,999,0,1.1,5191,0
49,housemaid,0,4,1,1,110,2,999,0,1.1,5191,0
50,blue-collar,1,3,0,0,463,1,999,0,1.1,5191,0
34,services,1,4,0,0,962,1,999,0,1.1,5191,0
55,blue-collar,1,1,0,0,102,2,999,0,1.1,5191,0
47,technician,0,3,0,0,10,4,999,0,1.1,5191,0
51,retired,1,6,0,0,118,3,999,0,1.1,5191,0
47,blue-collar,1,2,0,0,92,2,999,0,1.1,5191,0
56,technician,1,1,1,0,143,3,999,0,1.1,5191,0
53,admin.,1,3,0,0,189,3,999,0,1.1,5191,0
36,blue-collar,1,3,1,0,75,2,999,0,1.1,5191,0
42,blue-collar,2,3,1,0,189,2,999,0,1.1,5191,0
44,blue-collar,2,2,0,0,55,2,999,0,1.1,5191,0
39,housemaid,1,3,1,0,935,3,999,0,1.1,5191,1
37,admin.,0,4,1,1,56,2,999,0,1.1,5191,0
60,blue-collar,1,-1,1,0,5,2,999,0,1.1,5191,0
36,services,1,4,0,0,225,2,999,0,1.1,5191,0
42,management,2,5,1,0,125,2,999,0,1.1,5191,0
31,admin.,1,4,1,1,286,2,999,0,1.1,5191,0
53,technician,2,6,0,1,206,2,999,0,1.1,5191,0
45,blue-collar,1,1,1,0,164,2,999,0,1.1,5191,0
37,technician,0,6,1,0,98,2,999,0,1.1,5191,0
47,self-employed,1,6,0,0,446,2,999,0,1.1,5191,0
49,blue-collar,2,4,0,1,742,2,999,0,1.1,5191,0
36,admin.,1,5,1,0,120,2,999,0,1.1,5191,0
35,services,2,4,0,0,122,3,999,0,1.1,5191,0
38,unknown,1,-1,0,0,362,4,999,0,1.1,5191,0
38,services,0,4,0,0,357,2,999,0,1.1,5191,0
50,blue-collar,2,4,0,1,200,2,999,0,1.1,5191,0
59,retired,1,6,0,0,107,2,999,0,1.1,5191,0
43,unknown,1,-1,1,0,267,2,999,0,1.1,5191,0
42,admin.,1,4,1,0,248,2,999,0,1.1,5191,0
40,admin.,1,2,1,0,215,2,999,0,1.1,5191,0
46,blue-collar,1,-1,0,0,209,2,999,0,1.1,5191,0
57,housemaid,2,1,1,1,205,2,999,0,1.1,5191,0
42,admin.,1,5,1,0,261,3,999,0,1.1,5191,0
41,blue-collar,1,1,1,0,83,2,999,0,1.1,5191,0
54,management,2,5,1,0,106,3,999,0,1.1,5191,0
27,admin.,0,5,0,0,106,2,999,0,1.1,5191,0
36,admin.,1,4,0,0,108,2,999,0,1.1,5191,0
58,blue-collar,1,6,1,0,214,2,999,0,1.1,5191,0
40,management,1,5,1,0,358,2,999,0,1.1,5191,0
34,admin.,0,3,0,0,453,2,999,0,1.1,5191,0
33,admin.,2,4,0,0,364,2,999,0,1.1,5191,0
56,retired,1,2,0,0,136,2,999,0,1.1,5191,0
42,blue-collar,1,3,0,0,173,2,999,0,1.1,5191,0
43,services,1,4,1,0,241,2,999,0,1.1,5191,0
54,management,0,3,1,0,224,3,999,0,1.1,5191,0
53,admin.,0,2,1,1,148,2,999,0,1.1,5191,0
42,technician,0,-1,0,0,230,2,999,0,1.1,5191,0
40,services,1,2,0,0,199,3,999,0,1.1,5191,0
54,technician,1,6,1,1,196,2,999,0,1.1,5191,0
40,housemaid,0,6,0,0,111,4,999,0,1.1,5191,0
26,admin.,0,5,1,0,231,3,999,0,1.1,5191,0
33,admin.,1,4,0,0,316,3,999,0,1.1,5191,0
35,blue-collar,1,3,0,0,240,2,999,0,1.1,5191,0
36,admin.,1,4,0,0,669,3,999,0,1.1,5191,0
29,services,0,4,1,0,425,2,999,0,1.1,5191,0
36,blue-collar,1,3,1,0,121,2,999,0,1.1,5191,0
35,management,1,4,1,0,174,5,999,0,1.1,5191,0
50,self-employed,0,5,0,1,88,5,999,0,1.1,5191,0
46,services,1,4,1,0,313,3,999,0,1.1,5191,0
49,entrepreneur,1,4,1,0,135,4,999,0,1.1,5191,0
42,technician,0,6,1,0,152,2,999,0,1.1,5191,0
36,blue-collar,0,4,1,1,402,3,999,0,1.1,5191,0
55,blue-collar,1,3,1,0,221,2,999,0,1.1,5191,0
41,management,1,5,0,0,213,2,999,0,1.1,5191,0
57,management,1,6,1,0,144,3,999,0,1.1,5191,0
32,services,0,4,1,0,158,3,999,0,1.1,5191,0
49,admin.,1,3,0,0,220,3,999,0,1.1,5191,0
57,unknown,1,-1,1,0,325,2,999,0,1.1,5191,0
58,blue-collar,2,1,1,0,254,2,999,0,1.1,5191,0
52,technician,1,4,1,0,503,2,999,0,1.1,5191,0
50,services,2,6,0,0,680,2,999,0,1.1,5191,0
41,blue-collar,0,3,1,0,421,4,999,0,1.1,5191,0
33,entrepreneur,1,5,1,0,130,3,999,0,1.1,5191,0
57,blue-collar,1,1,0,0,164,2,999,0,1.1,5191,0
48,blue-collar,1,2,0,0,174,3,999,0,1.1,5191,0
55,technician,1,6,0,0,113,2,999,0,1.1,5191,0
38,management,1,5,0,0,195,2,999,0,1.1,5191,0
38,services,1,4,1,0,347,3,999,0,1.1,5191,0
53,admin.,1,5,1,0,208,2,999,0,1.1,5191,0
43,unemployed,0,5,0,0,404,4,999,0,1.1,5191,0
36,blue-collar,0,4,0,0,396,2,999,0,1.1,5191,0
32,blue-collar,1,3,0,0,98,2,999,0,1.1,5191,0
33,services,1,1,0,0,229,3,999,0,1.1,5191,0
58,entrepreneur,1,1,1,0,350,2,999,0,1.1,5191,0
40,unemployed,2,4,0,0,88,3,999,0,1.1,5191,0
57,management,1,5,1,0,379,2,999,0,1.1,5191,0
45,technician,1,4,1,0,168,3,999,0,1.1,5191,0
42,blue-collar,1,1,1,0,190,3,999,0,1.1,5191,0
46,admin.,1,5,1,0,158,1,999,0,1.1,5191,0
36,technician,1,5,0,0,210,1,999,0,1.1,5191,0
41,self-employed,1,4,1,0,102,1,999,0,1.1,5191,0
57,admin.,2,3,0,0,306,1,999,0,1.1,5191,0
49,blue-collar,1,3,1,0,64,1,999,0,1.1,5191,0
56,management,2,4,0,0,218,1,999,0,1.1,5191,0
37,blue-collar,1,3,0,0,77,1,999,0,1.1,5191,0
37,blue-collar,1,3,0,1,54,1,999,0,1.1,5191,0
46,admin.,0,4,1,0,344,1,999,0,1.1,5191,0
22,blue-collar,0,3,1,0,195,1,999,0,1.1,5191,0
43,services,1,4,0,0,202,1,999,0,1.1,5191,0
49,blue-collar,1,-1,0,0,286,1,999,0,1.1,5191,0
41,technician,1,2,1,0,278,1,999,0,1.1,5191,0
38,admin.,0,5,0,0,189,1,999,0,1.1,5191,0
33,admin.,1,3,0,0,83,1,999,0,1.1,5191,0
49,admin.,1,5,1,1,18,1,999,0,1.1,5191,0
30,blue-collar,0,-1,0,0,184,2,999,0,1.1,5191,0
33,admin.,1,3,1,0,235,1,999,0,1.1,5191,0
34,management,0,5,0,0,290,1,999,0,1.1,5191,0
30,student,0,-1,0,0,133,1,999,0,1.1,5191,0
59,management,1,1,1,1,318,1,999,0,1.1,5191,0
59,management,1,1,-1,-1,437,1,999,0,1.1,5191,0
41,self-employed,1,5,0,0,402,1,999,0,1.1,5191,0
48,housemaid,1,2,1,1,501,4,999,0,1.1,5191,0
28,unknown,0,-1,1,1,1201,1,999,0,1.1,5191,1
44,services,1,4,1,0,1030,1,999,0,1.1,5191,1
59,retired,-1,5,0,0,253,1,999,0,1.1,5191,0
50,management,1,4,0,0,149,1,999,0,1.1,5191,0
35,admin.,1,5,0,0,144,1,999,0,1.1,5191,0
42,admin.,1,4,0,0,69,1,999,0,1.1,5191,0
45,admin.,1,3,0,0,243,1,999,0,1.1,5191,0
36,technician,1,6,0,0,769,2,999,0,1.1,5191,0
56,services,1,4,0,0,135,3,999,0,1.1,5191,0
29,blue-collar,2,1,0,0,231,1,999,0,1.1,5191,0
41,self-employed,1,5,1,1,442,2,999,0,1.1,5191,0
42,blue-collar,1,3,0,0,199,1,999,0,1.1,5191,0
52,services,0,4,0,0,455,1,999,0,1.1,5191,0
48,services,1,4,-1,-1,152,1,999,0,1.1,5191,0
31,blue-collar,1,4,1,0,124,1,999,0,1.1,5191,0
43,unemployed,1,5,1,0,424,1,999,0,1.1,5191,0
36,blue-collar,1,1,0,0,43,1,999,0,1.1,5191,0
42,entrepreneur,1,5,1,0,154,1,999,0,1.1,5191,0
52,services,2,2,0,0,393,1,999,0,1.1,5191,0
39,admin.,1,4,1,0,203,2,999,0,1.1,5191,0
36,services,1,4,0,1,140,2,999,0,1.1,5191,0
42,blue-collar,1,3,1,0,326,1,999,0,1.1,5191,0
41,admin.,1,4,0,0,483,1,999,0,1.1,5191,0
55,technician,1,1,0,1,259,1,999,0,1.1,5191,0
30,blue-collar,1,3,0,0,227,1,999,0,1.1,5191,0
57,retired,-1,1,0,0,673,1,999,0,1.1,5191,0
45,entrepreneur,1,1,1,0,576,1,999,0,1.1,5191,0
51,blue-collar,1,1,1,1,180,2,999,0,1.1,5191,0
39,self-employed,0,3,1,1,90,1,999,0,1.1,5191,0
47,admin.,1,4,0,0,505,1,999,0,1.1,5191,0
27,services,1,4,1,0,245,1,999,0,1.1,5191,0
34,technician,0,5,1,0,186,1,999,0,1.1,5191,0
57,blue-collar,1,1,1,0,208,1,999,0,1.1,5191,0
43,entrepreneur,1,1,0,0,623,1,999,0,1.1,5191,0
49,blue-collar,1,1,0,0,180,1,999,0,1.1,5191,0
39,management,1,5,0,0,496,3,999,0,1.1,5191,0
38,blue-collar,1,1,1,0,118,1,999,0,1.1,5191,0
49,blue-collar,1,3,0,0,102,2,999,0,1.1,5191,0
58,management,1,2,0,0,342,1,999,0,1.1,5191,0
43,technician,1,6,1,0,225,1,999,0,1.1,5191,0
50,unknown,1,-1,1,0,185,3,999,0,1.1,5191,0
31,services,1,4,0,0,276,1,999,0,1.1,5191,0
43,self-employed,2,5,0,0,87,1,999,0,1.1,5191,0
43,self-employed,1,3,0,0,744,1,999,0,1.1,5191,0
30,self-employed,0,5,1,0,262,1,999,0,1.1,5191,0
27,services,0,6,1,1,271,1,999,0,1.1,5191,0
51,services,1,-1,0,0,141,1,999,0,1.1,5191,0
37,technician,1,6,1,0,198,2,999,0,1.1,5191,0
46,housemaid,1,3,1,0,150,1,999,0,1.1,5191,0
35,blue-collar,1,6,0,0,241,1,999,0,1.1,5191,0
47,admin.,2,5,0,0,196,1,999,0,1.1,5191,0
46,management,1,-1,1,0,149,1,999,0,1.1,5191,0
40,technician,1,6,0,1,264,1,999,0,1.1,5191,0
26,housemaid,1,5,0,0,246,1,999,0,1.1,5191,0
32,blue-collar,2,3,0,0,309,2,999,0,1.1,5191,0
45,management,1,5,1,0,140,1,999,0,1.1,5191,0
34,admin.,1,3,0,0,175,1,999,0,1.1,5191,0
